station	year	month	day	precipitation	min_temp	max_temp	avg_temp	max_wind	min_wind	max_sky	avg_sky	min_vis	max_vis	avg_vis	min_dew	max_dew	avg_dew	min_pres	max_pres	avg_pres	weekday
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
																					class
Adelaide	1955	02	19	0.0	14.4	21.1	17.7	7.7	?	?	?	24000.0	40000.0	37714.3	5.0	8.3	6.7	?	?	?	Sat
Adelaide	1955	02	26	0.0	17.2	25.6	21.2	7.2	?	?	?	16000.0	40000.0	28285.7	12.8	15.0	13.6	?	?	?	Sat
Adelaide	1955	03	05	0.0	11.7	20.0	16.0	8.7	?	?	?	30000.0	30000.0	30000.0	3.9	9.4	6.3	?	?	?	Sat
Adelaide	1955	03	12	0.0	15.6	26.1	21.4	6.2	?	?	?	16000.0	40000.0	28428.6	9.4	16.7	13.6	?	?	?	Sat
Adelaide	1955	03	19	0.0	22.8	28.3	25.7	4.6	?	?	?	30000.0	30000.0	30000.0	11.7	15.6	13.6	?	?	?	Sat
Adelaide	1955	03	26	0.0	13.3	22.8	18.3	4.1	?	?	?	30000.0	40000.0	35714.3	8.3	11.7	10.5	?	?	?	Sat
Adelaide	1955	04	09	0.0	20.6	28.9	24.1	5.1	?	?	?	30000.0	40000.0	31428.6	7.2	13.9	9.7	?	?	?	Sat
Adelaide	1955	04	16	0.0	12.8	21.1	16.2	5.1	?	?	?	30000.0	40000.0	38571.4	6.7	10.0	8.1	?	?	?	Sat
Adelaide	1955	04	23	0.0	16.7	26.1	21.0	6.2	?	?	?	16000.0	40000.0	30857.1	4.4	16.1	10.1	?	?	?	Sat
Adelaide	1955	04	30	0.0	8.3	21.1	15.2	4.1	?	?	?	16000.0	45000.0	32142.9	6.1	10.6	7.5	?	?	?	Sat
Adelaide	1955	05	07	4.0	6.1	15.6	11.0	6.2	?	?	?	16000.0	24000.0	21714.3	5.0	7.2	6.4	?	?	?	Sat
Adelaide	1955	05	14	2.0	12.2	15.6	13.7	7.7	?	?	?	6000.0	30000.0	22000.0	7.2	11.1	9.3	?	?	?	Sat
Adelaide	1955	05	21	0.0	5.6	15.0	10.8	1.5	?	?	?	24000.0	40000.0	30285.7	2.8	6.1	4.0	?	?	?	Sat
Adelaide	1955	06	04	4.0	7.8	13.9	11.0	5.1	?	?	?	24000.0	40000.0	32000.0	4.4	8.9	7.2	?	?	?	Sat
Adelaide	1955	06	11	0.0	15.0	20.6	17.5	7.7	?	?	?	30000.0	40000.0	35714.3	9.4	11.7	10.9	?	?	?	Sat
Adelaide	1955	06	18	4.0	11.1	15.0	12.9	6.2	?	?	?	11000.0	40000.0	25000.0	6.1	11.1	8.6	?	?	?	Sat
Adelaide	1955	06	25	4.0	8.3	13.3	11.2	7.7	?	?	?	12000.0	30000.0	24571.4	7.2	10.6	9.3	?	?	?	Sat
Adelaide	1955	07	09	0.0	11.1	13.9	12.3	8.7	?	?	?	24000.0	30000.0	26571.4	8.3	10.0	9.3	?	?	?	Sat
Adelaide	1955	07	16	3.0	5.6	12.8	9.5	5.1	?	?	?	1300.0	30000.0	18471.4	5.6	10.6	8.1	?	?	?	Sat
Adelaide	1955	07	23	0.5	10.6	13.3	11.6	6.2	?	?	?	12000.0	24000.0	22285.7	8.3	10.0	9.3	?	?	?	Sat
Adelaide	1955	07	30	2.0	5.6	12.8	9.8	7.2	?	?	?	6000.0	40000.0	28000.0	5.6	9.4	7.9	?	?	?	Sat
Adelaide	1955	08	06	0.0	10.0	16.7	11.9	12.3	?	?	?	24000.0	40000.0	29750.0	4.4	10.0	6.7	?	?	?	Sat
Adelaide	1955	08	13	0.0	10.0	21.1	15.4	5.1	?	?	?	24000.0	45000.0	29375.0	7.8	11.1	9.7	?	?	?	Sat
Adelaide	1955	08	20	4.0	10.6	12.8	11.6	16.5	?	?	?	19000.0	30000.0	24875.0	3.3	11.1	7.4	?	?	?	Sat
Adelaide	1955	09	03	1.0	10.0	13.9	11.4	6.2	?	?	?	24000.0	40000.0	31750.0	3.9	8.9	5.9	?	?	?	Sat
Adelaide	1955	09	17	2.0	5.6	15.0	10.4	4.1	?	?	?	24000.0	45000.0	34250.0	0.0	6.1	3.0	?	?	?	Sat
Adelaide	1955	09	24	0.3	7.2	15.6	11.7	5.1	?	?	?	12000.0	24000.0	20500.0	6.7	10.6	9.2	?	?	?	Sat
Adelaide	1955	10	08	2.0	6.7	15.0	11.5	6.2	?	?	?	30000.0	45000.0	37500.0	5.0	8.9	6.7	?	?	?	Sat
Adelaide	1955	10	22	0.0	10.6	18.9	14.9	7.2	?	?	?	24000.0	40000.0	33000.0	5.0	8.9	6.6	?	?	?	Sat
Adelaide	1955	10	29	11.0	11.1	15.6	13.2	8.7	?	?	?	16000.0	30000.0	24500.0	5.6	10.0	8.2	?	?	?	Sat
Adelaide	1955	11	12	0.3	12.8	18.3	15.3	5.7	?	?	?	24000.0	40000.0	35500.0	9.4	12.2	11.2	?	?	?	Sat
Adelaide	1955	11	19	0.0	10.0	15.6	12.8	6.2	?	?	?	30000.0	45000.0	41250.0	0.0	7.2	5.1	?	?	?	Sat
Adelaide	1955	11	26	6.0	12.8	15.0	14.0	6.2	?	?	?	6000.0	30000.0	22250.0	7.2	11.7	9.6	?	?	?	Sat
Adelaide	1955	12	10	0.0	16.1	38.3	26.4	15.4	?	?	?	9000.0	40000.0	30375.0	2.8	14.4	9.7	?	?	?	Sat
Adelaide	1955	12	17	0.0	11.1	21.1	16.0	11.3	?	?	?	30000.0	40000.0	36250.0	8.3	12.2	9.4	?	?	?	Sat
Adelaide	1955	12	24	0.0	15.0	23.3	18.8	9.3	?	?	?	40000.0	40000.0	40000.0	10.0	12.8	11.8	?	?	?	Sat
Adelaide	1956	01	07	0.0	21.7	31.7	26.6	6.2	?	?	?	40000.0	45000.0	44375.0	0.6	9.4	3.6	?	?	?	Sat
Adelaide	1956	01	14	0.0	18.9	20.6	19.7	6.2	?	?	?	24000.0	40000.0	36750.0	7.8	14.4	10.0	?	?	?	Sat
Adelaide	1956	01	21	4.0	13.9	20.6	16.8	7.7	?	?	?	40000.0	40000.0	40000.0	8.3	10.6	9.3	?	?	?	Sat
Adelaide	1956	01	28	0.0	16.1	29.4	22.1	8.7	?	?	?	16000.0	40000.0	32000.0	7.8	16.1	12.4	?	?	?	Sat
Adelaide	1956	02	04	0.0	20.0	32.2	27.6	4.1	?	?	?	30000.0	40000.0	38750.0	10.0	17.2	12.5	?	?	?	Sat
Adelaide	1956	02	11	0.0	16.7	23.9	19.9	9.8	?	?	?	30000.0	30000.0	30000.0	11.1	16.7	13.3	?	?	?	Sat
Adelaide	1956	02	18	0.0	20.6	27.8	25.9	9.3	?	?	?	16000.0	40000.0	34500.0	9.4	17.8	14.0	?	?	?	Sat
Adelaide	1956	02	25	0.0	14.4	25.0	19.3	7.7	?	?	?	30000.0	45000.0	40000.0	6.1	11.1	9.0	?	?	?	Sat
Adelaide	1956	03	03	0.0	20.0	24.4	21.5	7.2	?	?	?	24000.0	30000.0	29250.0	12.8	17.2	15.0	?	?	?	Sat
Adelaide	1956	03	10	0.0	12.2	21.1	16.9	6.7	?	?	?	30000.0	40000.0	37500.0	6.7	11.1	9.3	?	?	?	Sat
Adelaide	1956	03	17	0.0	14.4	20.6	17.3	8.7	?	?	?	30000.0	45000.0	38750.0	9.4	13.9	11.6	?	?	?	Sat
Adelaide	1956	03	24	0.0	15.6	23.9	20.2	7.2	?	?	?	24000.0	40000.0	34750.0	13.3	16.7	15.3	?	?	?	Sat
Adelaide	1956	03	31	4.0	17.8	21.7	20.4	9.3	?	?	?	24000.0	30000.0	29250.0	14.4	18.9	16.9	?	?	?	Sat
Adelaide	1956	04	07	0.0	17.2	25.0	20.3	5.1	?	?	?	24000.0	40000.0	33000.0	9.4	15.6	12.3	?	?	?	Sat
Adelaide	1956	04	14	0.0	16.1	23.3	18.8	16.5	?	?	?	12000.0	30000.0	26000.0	8.3	15.0	12.7	?	?	?	Sat
Adelaide	1956	04	21	2.0	13.3	17.8	15.1	9.3	?	?	?	24000.0	40000.0	29750.0	7.2	12.2	9.6	?	?	?	Sat
Adelaide	1956	04	28	2.0	12.8	19.4	15.5	3.1	?	?	?	19000.0	30000.0	25625.0	12.2	12.8	12.3	?	?	?	Sat
Adelaide	1956	05	05	0.0	5.6	17.8	11.2	2.6	?	?	?	16000.0	40000.0	27250.0	3.3	9.4	6.2	?	?	?	Sat
Adelaide	1956	05	12	3.0	10.0	17.2	14.2	5.1	?	?	?	12000.0	24000.0	21500.0	7.8	12.2	11.0	?	?	?	Sat
Adelaide	1956	05	19	6.0	9.4	16.7	13.3	2.1	?	?	?	11000.0	30000.0	22625.0	8.3	13.3	10.9	?	?	?	Sat
